D1:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
F1:1
F2:1
F3:1
F4:1
F5:1
F6:1
F7:1
F8:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
